client_id,client_name,client_type,segment,region,province,age,gender,account_type,account_open_date,aum_thb,phone,email,risk_level,is_active
C00001,Somsak Srisawat,Individual,Retail,North,Chiang Rai,31.0,M,Cash,2022-03-28,84798.15,083-991-5889,somsak.sri@email.com,Medium,True
C00002,Sompong Chaiyasit,Individual,Retail,South,Krabi,48.0,F,Cash,2025-01-29,1005615.43,,sompong.cha@email.com,Low,True
C00003,Wichai Tangsiri,Individual,Retail,South,Phuket,38.0,M,Cash,2024-08-08,101305.71,095-935-2133,wichai.tan@email.com,High,True
C00004,Prasert Pongpanich,Individual,Retail,South,Surat Thani,38.0,M,Margin,2023-08-07,371963.92,096-993-7932,prasert.pon@email.com,Medium,True
C00005,Thawatchai Suwannapong,Individual,Retail,North,Phitsanulok,54.0,M,Margin,2022-03-08,75117.26,094-223-5061,thawatchai.suw@email.com,Low,False
C00006,Suphachai Rattanakit,Individual,Retail,Bangkok,Bangkok,26.0,F,Cash,2024-09-14,228138.61,081-980-6413,suphachai.rat@email.com,High,True
C00007,Anon Prasertchai,Individual,Retail,South,Krabi,37.0,M,Margin,2022-06-07,361014.58,087-903-8749,anon.pra@email.com,Medium,True
C00008,Kittisak Wattanasin,Individual,Retail,Northeast,Ubon Ratchathani,52.0,M,Cash,2020-03-28,23781.92,081-789-2612,kittisak.wat@email.com,Low,True
C00009,Chaiyaporn Boonlert,Individual,Retail,Northeast,Nakhon Ratchasima,37.0,F,Margin,2022-09-19,51388.66,085-385-8579,chaiyaporn.boo@email.com,Low,True
C00010,Nattapong Jitpakdi,Individual,High Net Worth,South,Phuket,56.0,F,Cash,2024-07-23,5900454.21,087-270-7658,nattapong.jit@email.com,Low,True
C00011,Worawit Saengthong,Individual,Retail,Northeast,Udon Thani,38.0,F,Cash,2020-09-08,1200211.44,094-392-7930,worawit.sae@email.com,Low,True
C00012,Siriwan Phromwong,Individual,Retail,Bangkok,Bangkok,44.0,M,Cash,2020-11-21,543127.9,090-158-1821,siriwan.phr@email.com,High,True
C00013,Pornphan Suksawat,Individual,Retail,Central,Nonthaburi,75.0,M,Margin,2021-09-30,102194.3,082-791-4853,pornphan.suk@email.com,High,False
C00014,Napaporn Thongsuk,Corporate,Corporate,Bangkok,Bangkok,,,Margin,2021-05-25,34844907.54,098-678-9565,napaporn.tho@email.com,High,True
C00015,Sasithorn Wongsuwan,Institution,Institutional,North,Phitsanulok,,,Cash,2024-05-07,122607599.88,089-568-6180,sasithorn.won@email.com,Medium,True
C00016,Kanokwan Srisawat,Individual,Retail,South,Phuket,59.0,M,Cash,2024-09-02,1274717.69,097-318-9288,kanokwan.sri@email.com,Medium,True
